ty,pHVmx,pACmx,pHVeff,pACeff,temp,pHVmx_,pACmx_,pHVeff_,pACeff_,inv,fom,vom,life
Electricity ASHP SEER 10 6.2 HSPF,4.418073,2.0718708,1.817116061,2.930832356,8.0,0.02,0.02,0.05,0.05,13672.04096,0,0,15
Electricity ASHP SEER 13 7.7 HSPF,4.418073,2.0718708,2.256740914,3.810082063,8.0,0.02,0.02,0.05,0.05,14911.95474,0,0,15
Electricity ASHP SEER 15 8.5 HSPF,4.418073,2.0718708,2.491207503,4.396248535,8.0,0.02,0.02,0.05,0.05,15573.24209,0,0,15
Electricity ASHP SEER 20 10 HSPF,4.418073,2.0718708,2.9308324,5.86166,8.0,0.02,0.02,0.05,0.05,16813.15599,0,0,15
Electricity ASHP SEER 22 11 HSPF,4.418073,2.0718708,3.223916,6.4478,8.0,0.02,0.02,0.05,0.05,17639.7662,0,0,15
Electricity ASHP SEER 24 12 HSPF,4.418073,2.0718708,3.517,7.034,8.0,0.02,0.02,0.05,0.05,18466.37755,0,0,15
Electricity Electric Baseboard 100% Efficiency,4.418073,0.0,1.0,0.0,8.0,0.02,0.02,0.05,0.05,6000.0,0,0,15
Electricity Electric Boiler 100% AFUE,4.418073,0.0,1.0,0.0,8.0,0.02,0.02,0.05,0.05,6000.0,0,0,15
Electricity Electric Furnace 100% AFUE,4.418073,0.0,1.0,0.0,8.0,0.02,0.02,0.05,0.05,6000.0,0,0,15
Electricity Electric Wall Furnace 100% AFUE,4.418073,0.0,1.0,0.0,8.0,0.02,0.02,0.05,0.05,6000.0,0,0,15
AC SEER 10,0.0,2.0718708,0.0,2.930832356,8.0,0.02,0.02,0.05,0.05,5000.0,0,0,15
AC SEER 13,0.0,2.0718708,0.0,3.810082063,8.0,0.02,0.02,0.05,0.05,5500.0,0,0,15
AC SEER 15,0.0,2.0718708,0.0,4.396248535,8.0,0.02,0.02,0.05,0.05,6000.0,0,0,15
AC SEER 8,0.0,2.0718708,0.0,2.344665885,8.0,0.02,0.02,0.05,0.05,4500.0,0,0,15
Room AC EER 10.7,0.0,2.0718708,0.0,3.135990621,8.0,0.02,0.02,0.05,0.05,3500.0,0,0,15
Room AC EER 12.0,0.0,2.0718708,0.0,3.516998828,8.0,0.02,0.02,0.05,0.05,4000.0,0,0,15
Room AC EER 8.5,0.0,2.0718708,0.0,2.491207503,8.0,0.02,0.02,0.05,0.05,2500.0,0,0,15
Room AC EER 9.8,0.0,2.0718708,0.0,2.872215709,8.0,0.02,0.02,0.05,0.05,3000.0,0,0,15
Mitsubishi ASHP 173,4.418073,2.0718708,3.55,3.52,8.333333333333334,0.0817549385281912,-0.0208040997694809,0.0290405405405405,0.0256865967696231,8420.108318,0,0,15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
