pP,pQcostBuy,pQcostSell,pQmx,pQmxCost,pQco2,pGcost,pLcost,pQlight,pQequip,pTout,pTmx,pTmn,pTon,pHWdem,pSdni,pSdhi,pWms,pEVdem,pEVtm,pEVtype,pBppl
2018-01-01T00:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.08034,0.19478999,7.3698606,20.5,17.5,1,0.040584475,0.0,0.0,0.9375525,0.0,0.0,0,3
2018-01-01T01:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.0566,0.16025996,2.025,20.5,17.5,1,0.040713422,0.0,0.0,5.631237,0.0,0.0,0,3
2018-01-01T02:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04592,0.14401,3.1,20.5,17.5,1,0.040311918,0.0,0.0,7.731202,0.0,0.0,0,3
2018-01-01T03:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04336,0.13874996,2.8,20.5,17.5,1,0.03991334,0.0,0.0,8.112527,0.0,0.0,0,3
2018-01-01T04:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04248,0.13786995,2.1125,20.5,17.5,1,0.039520625,0.0,0.0,7.0749493,0.0,0.0,0,3
2018-01-01T05:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04248,0.13788009,1.325,20.5,17.5,1,0.037240535,0.0,0.0,7.324956,0.0,0.0,0,2
2018-01-01T06:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.0442,0.13958979,0.4125,20.5,17.5,1,0.03586603,0.0,0.0,8.356274,0.0,0.0,0,2
2018-01-01T07:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.07587,0.39993998,-0.1875,20.5,17.5,1,0.137336,0.0,0.0,8.749892,0.0,0.0,0,2
2018-01-01T08:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.19534999,0.37631983,-0.8,20.5,17.5,1,0.34736535,0.009750051,0.014436985,8.781185,0.0,0.0,0,2
2018-01-01T09:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.20014,0.55372,-0.7875,20.5,17.5,1,0.47610557,0.034281727,0.07140653,9.112553,0.0,0.0,0,2
2018-01-01T10:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.18475,1.42965,-0.225,20.5,17.5,1,0.091994986,0.13093759,0.1417815,8.9874935,0.0,0.0,0,2
2018-01-01T11:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.17107,0.44013,1.0625,20.5,17.5,1,0.036792137,0.27946836,0.19503178,9.112553,0.0,0.0,0,2
2018-01-01T12:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.18854,0.32873988,2.3875,20.5,17.5,1,0.30901995,0.2458751,0.22943732,8.612428,0.0,0.0,0,2
2018-01-01T13:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.1846,0.32718992,2.956389,20.5,17.5,1,0.36327323,0.5704368,0.18390633,7.731202,0.0,0.0,0,2
2018-01-01T14:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.18504,0.33154005,3.206389,20.5,17.5,1,0.6357501,0.72453135,0.13578147,6.981183,0.0,0.0,0,2
2018-01-01T15:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.1869,0.33692002,4.3625,20.5,17.5,1,0.3098259,0.72603065,0.11209365,6.075035,0.0,0.0,0,2
2018-01-01T16:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.19685,0.35695004,4.625,20.5,17.5,1,0.09201257,0.66549957,0.08424966,6.32493,0.0,0.0,0,2
2018-01-01T17:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.24757001,0.71274996,3.4,20.5,17.5,1,0.54319537,0.41737524,0.057905667,5.3874893,0.0,0.0,0,2
2018-01-01T18:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.29099,0.48985004,2.425,20.5,17.5,1,0.091748804,0.05900031,0.008156194,3.9749582,0.0,0.0,0,2
2018-01-01T19:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.36152,0.58545005,1.856389,20.5,17.5,1,0.03668663,0.0,0.0,4.256257,0.0,0.0,0,2
2018-01-01T20:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.40666,0.66376996,0.99388903,20.5,17.5,1,0.03826921,0.0,0.0,4.3062143,0.0,0.0,0,2
2018-01-01T21:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.38319,0.65864,0.225,20.5,17.5,1,0.0388407,0.0,0.0,4.099794,0.0,0.0,0,2
2018-01-01T22:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.29371,0.53306997,-0.375,20.5,17.5,1,0.04036174,0.0,0.0,3.4750566,0.0,0.0,0,2
2018-01-01T23:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.15209,0.29193997,-0.6,20.5,17.5,1,0.04040277,0.0,0.0,3.7249515,0.0,0.0,0,2
2018-01-02T00:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.07739,0.19003999,-0.6,20.5,17.5,1,0.040004194,0.0,0.0,4.7249775,0.0,0.0,0,3
2018-01-02T01:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.044639997,0.14001995,-0.6,20.5,17.5,1,0.039605614,0.0,0.0,5.443816,0.0,0.0,0,3
2018-01-02T02:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04336,0.13873005,-0.9125,20.5,17.5,1,0.039215833,0.0,0.0,5.9936743,0.0,0.0,0,3
2018-01-02T03:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04336,0.13872993,-1.1,20.5,17.5,1,0.03882605,0.0,0.0,5.199956,0.0,0.0,0,3
2018-01-02T04:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04248,0.13787009,-1.1,20.5,17.5,1,0.040429145,0.0,0.0,4.912511,0.0,0.0,0,3
2018-01-02T05:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.04248,0.13786006,-1.1,20.5,17.5,1,0.038500737,0.0,0.0,5.09982,0.0,0.0,0,3
2018-01-02T06:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.0442,0.13959002,-1.475,20.5,17.5,1,0.037114512,0.0,0.0,5.09982,0.0,0.0,0,3
2018-01-02T07:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.06108,0.15934014,-1.7,20.5,17.5,1,0.12650703,0.0,0.0,4.4749713,0.0,0.0,0,3
2018-01-02T08:00,0.22,0.18,0,0.0,0.5,0.051,0.0739,0.08314,0.18625998,-1.325,20.5,17.5,1,0.21461296,0.0019684648,0.006468489,3.4750566,0.0,0.0,0,2
