pP,pQcostBuy,pQcostSell,pQmx,pQmxCost,pQco2,pGcost,pLcost,pQlight,pQequip,pTout,pTmx,pTmn,pTon,pHWdem,pSdni,pSdhi,pWms,pEVdem,pEVtm,pEVtype,pBppl
2019-01-01T01:00:00,0.18,0.05,0,0.0,0.42,0.05,0.09,0.10,0.40,-1.0,26.0,20.0,1,0.0,0.0,0.0,4.2,0.0,0.0,0,2.0
2019-01-01T02:00:00,0.18,0.05,0,0.0,0.42,0.05,0.09,0.10,0.40,-1.5,26.0,20.0,1,0.0,0.0,0.0,4.0,0.0,0.0,0,2.0
2019-01-01T03:00:00,0.18,0.05,0,0.0,0.43,0.05,0.09,0.10,0.40,-2.0,26.0,20.0,1,0.0,0.0,0.0,3.8,0.0,0.0,0,2.0
2019-01-01T04:00:00,0.18,0.05,0,0.0,0.43,0.05,0.09,0.10,0.40,-2.5,26.0,20.0,1,0.0,0.0,0.0,3.6,0.0,0.0,0,2.0
2019-01-01T05:00:00,0.18,0.05,0,0.0,0.42,0.05,0.09,0.10,0.40,-3.0,26.0,20.0,1,0.0,0.0,0.0,3.5,0.0,0.0,0,2.0
2019-01-01T06:00:00,0.18,0.05,0,0.0,0.41,0.05,0.09,0.30,0.60,-3.0,26.0,20.0,1,0.0,0.0,0.0,3.7,0.0,0.0,0,2.0
2019-01-01T07:00:00,0.18,0.05,0,0.0,0.40,0.05,0.09,0.50,1.20,-2.5,26.0,20.0,1,2.0,0.0,0.0,4.1,0.0,0.0,0,2.0
2019-01-01T08:00:00,0.18,0.05,0,0.0,0.38,0.05,0.09,0.50,1.20,-1.5,26.0,20.0,1,1.5,0.0,0.0,4.5,0.0,0.0,0,2.0
2019-01-01T09:00:00,0.18,0.05,0,0.0,0.36,0.05,0.09,0.20,0.50,0.0,26.0,20.0,1,0.0,0.05,0.02,4.8,0.0,0.0,0,0.0
2019-01-01T10:00:00,0.18,0.05,0,0.0,0.34,0.05,0.09,0.20,0.50,1.5,26.0,20.0,1,0.0,0.25,0.06,5.2,0.0,0.0,0,0.0
2019-01-01T11:00:00,0.18,0.05,0,0.0,0.32,0.05,0.09,0.20,0.50,2.5,26.0,20.0,1,0.0,0.45,0.09,5.6,0.0,0.0,0,0.0
2019-01-01T12:00:00,0.18,0.05,0,0.0,0.30,0.05,0.09,0.20,0.50,3.5,26.0,20.0,1,0.0,0.55,0.11,5.9,0.0,0.0,0,0.0
2019-01-01T13:00:00,0.18,0.05,0,0.0,0.30,0.05,0.09,0.20,0.50,4.0,26.0,20.0,1,0.0,0.58,0.11,6.0,0.0,0.0,0,0.0
2019-01-01T14:00:00,0.18,0.05,0,0.0,0.31,0.05,0.09,0.20,0.50,4.0,26.0,20.0,1,0.0,0.50,0.10,5.8,0.0,0.0,0,0.0
2019-01-01T15:00:00,0.18,0.05,0,0.0,0.33,0.05,0.09,0.20,0.50,3.5,26.0,20.0,1,0.0,0.35,0.08,5.5,0.0,0.0,0,0.0
2019-01-01T16:00:00,0.18,0.05,0,0.0,0.36,0.05,0.09,0.20,0.50,2.5,26.0,20.0,1,0.0,0.15,0.05,5.1,0.0,0.0,0,0.0
2019-01-01T17:00:00,0.28,0.05,0,0.0,0.40,0.05,0.09,0.80,1.50,1.5,26.0,20.0,1,0.0,0.02,0.01,4.7,0.0,0.0,0,3.0
2019-01-01T18:00:00,0.28,0.05,0,0.0,0.44,0.05,0.09,0.80,1.50,0.5,26.0,20.0,1,1.0,0.0,0.0,4.4,0.0,0.0,0,3.0
2019-01-01T19:00:00,0.28,0.05,0,0.0,0.45,0.05,0.09,0.80,1.50,0.0,26.0,20.0,1,2.0,0.0,0.0,4.2,0.0,0.0,0,3.0
2019-01-01T20:00:00,0.28,0.05,0,0.0,0.44,0.05,0.09,0.80,1.40,-0.5,26.0,20.0,1,0.0,0.0,0.0,4.0,0.0,0.0,0,3.0
2019-01-01T21:00:00,0.18,0.05,0,0.0,0.43,0.05,0.09,0.60,1.00,-1.0,26.0,20.0,1,0.0,0.0,0.0,3.9,0.0,0.0,0,3.0
2019-01-01T22:00:00,0.18,0.05,0,0.0,0.42,0.05,0.09,0.40,0.80,-1.5,26.0,20.0,1,1.5,0.0,0.0,3.8,0.0,0.0,0,3.0
2019-01-01T23:00:00,0.18,0.05,0,0.0,0.42,0.05,0.09,0.20,0.50,-2.0,26.0,20.0,1,0.0,0.0,0.0,3.7,0.0,0.0,0,2.0
2019-01-02T00:00:00,0.18,0.05,0,0.0,0.42,0.05,0.09,0.10,0.40,-2.5,26.0,20.0,1,0.0,0.0,0.0,3.6,0.0,0.0,0,2.0
