Date,dem,sell,hvac_HT,hvac_AC,Qwh,bess_UP,ev_UP,buy,pv,wind,chp,bess_DN,ev_DN,nse,bess_SOC,ev_SOC,Gchp,Gabp,Gwh,Lchp,Labp,Lwh,Temp,HVACht,HVACac,CHPht,ABPac,IHGp,IHGl,IHGe,SHG,HWdem,HWns,WHsoc,WHhw,HWchp,dualQ,dualT,dualHW
01/01/2019 01:00,0.5,0.0,1.32,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.59,0.0,0.0,0.0,0.2,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,-0.4545,-0.0
01/01/2019 02:00,0.5,0.0,1.33,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.59,0.0,0.0,0.0,0.2,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4569,-0.0
01/01/2019 03:00,0.5,0.0,1.37,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.69,0.0,0.0,0.0,0.2,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4594,-0.0
01/01/2019 04:00,0.5,0.0,1.42,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.79,0.0,0.0,0.0,0.2,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4619,-0.0
01/01/2019 05:00,0.5,0.0,1.46,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.89,0.0,0.0,0.0,0.2,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4644,-0.0
01/01/2019 06:00,0.8999999999999999,0.0,1.37,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.65,0.0,0.0,0.0,0.2,0.27,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.4644,-0.0
01/01/2019 07:00,1.7,0.0,1.12,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,20.0,2.99,0.0,0.0,0.0,0.2,0.45,0.96,0.0,2.0,0.0,0.0,2.0,0.0,0.18,0.4619,0.0652
01/01/2019 08:00,1.7,0.0,1.07,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,20.0,2.89,0.0,0.0,0.0,0.2,0.45,0.96,0.0,1.5,0.0,0.0,1.5,0.0,0.18,0.4569,0.0652
01/01/2019 09:00,0.7,0.0,1.31,0.0,0.0,0.0,0.0,1.95,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.6,0.0,0.0,0.0,0.0,0.18,0.4,0.37,0.0,0.0,0.0,0.0,0.0,0.18,0.4497,-0.0
01/01/2019 10:00,0.7,0.0,0.97,0.0,0.0,0.0,0.0,1.31,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.71,0.0,0.0,0.0,0.0,0.18,0.4,2.13,0.0,0.0,0.0,0.0,0.0,0.18,0.4427,-0.0
01/01/2019 11:00,0.7,0.0,0.62,0.0,0.0,0.0,0.0,0.64,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.75,0.0,0.0,0.0,0.0,0.18,0.4,4.1,0.0,0.0,0.0,0.0,0.0,0.18,0.4381,-0.0
01/01/2019 12:00,0.7,0.0,0.43,0.0,0.0,0.0,0.0,0.28,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.24,0.0,0.0,0.0,0.0,0.18,0.4,5.04,0.0,0.0,0.0,0.0,0.0,0.18,0.4336,-0.0
