ty,pHVmx,pACmx,pHVeff,pACeff,temp,pHVmx_,pACmx_,pHVeff_,pACeff_,inv,fom,vom,life
Electricity ASHP SEER 10 6.2 HSPF,13.597918022121016,18.300831736095237,2.008655758,1.957668339,8.0,0.02,0.03,0.02,0.01,13672.04096,0,0,15
Electricity ASHP SEER 13 7.7 HSPF,13.597918022121016,18.300831736095237,2.873972469,2.637441135,8.0,0.02,0.03,0.04,0.03,14911.95474,0,0,15
Electricity ASHP SEER 15 8.5 HSPF,13.597918022121016,18.300831736095237,3.254430666,2.873278026,8.0,0.02,0.03,0.05,0.03,15573.24209,0,0,15
Electricity Electric Baseboard 100% Efficiency,13.597918022121016,0.0,1.0,0.0,8.0,0.02,0.03,0.0,0.0,6000.0,0,0,15
Electricity Electric Boiler 100% AFUE,13.597918022121016,0.0,1.0,0.0,8.0,0.02,0.03,0.005,0.0,6000.0,0,0,15
Electricity Electric Furnace 100% AFUE,13.597918022121016,0.0,1.0,0.0,8.0,0.02,0.03,0.0,0.0,6000.0,0,0,15
Electricity Electric Wall Furnace 100% AFUE,13.597918022121016,0.0,1.0,0.0,8.0,0.02,0.03,0.0,0.0,6000.0,0,0,15
AC SEER 10,0.0,18.300831736095237,0.0,2.01407399,8.0,0.02,0.03,0.0,0.01,5000.0,0,0,15
AC SEER 13,0.0,18.300831736095237,0.0,2.668733826,8.0,0.02,0.03,0.0,0.03,5500.0,0,0,15
AC SEER 15,0.0,18.300831736095237,0.0,3.025878215,8.0,0.02,0.03,0.0,0.03,6000.0,0,0,15
AC SEER 8,0.0,18.300831736095237,0.0,1.69708491,8.0,0.02,0.03,0.0,0.02,4500.0,0,0,15
Room AC EER 10.7,0.0,18.300831736095237,0.0,2.302065375,8.0,0.02,0.03,0.0,0.003,3500.0,0,0,15
Room AC EER 12.0,0.0,18.300831736095237,0.0,2.427456093,8.0,0.02,0.03,0.0,0.025,4000.0,0,0,15
Room AC EER 8.5,0.0,18.300831736095237,0.0,1.705579537,8.0,0.02,0.03,0.0,0.025,2500.0,0,0,15
Room AC EER 9.8,0.0,18.300831736095237,0.0,2.060095617,8.0,0.02,0.03,0.0,0.01,3000.0,0,0,15
Mitsubishi ASHP 382,9.6411085,10.814608,3.46,3.46,8.333333333333334,0.3336851400325896,0.1117315687518732,0.0398108108108108,-0.0180841598186455,18657.8513736,0,0,15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
