pP,pQcostBuy,pQcostSell,pQmx,pQmxCost,pQco2,pGcost,pLcost,pQlight,pQequip,pTout,pTmx,pTmn,pTon,pHWdem,pSdni,pSdhi,pWms,pEVdem,pEVtm,pEVtype,pBppl
2018-01-01T00:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.13662243781147E-02,0.266839856151079,-16.6,22,18,1,0.239329200087807,0,0,0.617636363636364,0,0,0,4
2018-01-01T01:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.81865306540745E-02,0.352540581128833,-17,22,18,1,0,0,0,0.544,0,0,0,4
2018-01-01T02:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.80859411484928E-02,0.344045588802964,-17.3,22,18,1,0.107744901056651,0,0,0.524,0,0,0,4
2018-01-01T03:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.79853516429111E-02,0.343051437689408,-17.6,22,18,1,0,0,0,0.583818181818182,0,0,0,4
2018-01-01T04:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.76500532909721E-02,0.342057286575851,-17.8,22,18,1,0.10774846790215,0,0,0.622363636363636,0,0,0,4
2018-01-01T05:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.78512323021355E-02,0.341808748797462,-18.1,22,18,1,0,0,0,0.638727272727273,0,0,0,4
2018-01-01T06:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.86559483467891E-02,0.343299975467797,-18.2,22,18,1,0.107723024871681,0.133,0.037,0.656,63.3349023050008,0,1,2
2018-01-01T07:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.92930152154732E-02,0.34528827769491,-17.7,22,18,1,0,0.514,0.095,0.673636363636364,0,0,0,2
2018-01-01T08:00,0.22,0.18,0,0,0.5,0.051,0.0739,7.80180892619971E-02,0.807773262583692,-16.5,22,18,1,0,0.485,0.183,0.678909090909091,0,0,0,2
2018-01-01T09:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.65770985647673E-02,1.28175168091382,-15.2,22,18,1,0.107770539221246,0.808,0.133,0.656181818181818,13.3658744578854,0,2,0
2018-01-01T10:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.227455351632589,0.925173640581693,-13.8,22,18,1,0.40804323036065,0.857,0.143,0.633272727272727,0,0,0,0
2018-01-01T11:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.1718236570484,0.533026859417012,-12.7,22,18,1,1.6750944092168,0.883,0.148,0.610363636363636,0,0,0,0
2018-01-01T12:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.63759195536039E-02,0.347276579922023,-12,22,18,1,1.04316704778316,0.818,0.191,0.569090909090909,0,0,0,0
2018-01-01T13:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.163927105478518,0.938008531488815,-11.7,22,18,1,0.632697560216342,0.886,0.137,0.522,0,20,2,1
2018-01-01T14:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.214491143548403,1.52111091640964,-12,22,18,1,0.119765851116942,0.817,0.145,0.465454545454545,0,0,0,1
2018-01-01T15:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.129378674050933,0.813756326498045,-12.8,22,18,1,0.10780406812959,0.722,0.141,0.403272727272727,0,0,0,1
2018-01-01T16:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.298025399660795,0.628779668116738,-13.7,22,18,1,0,0.596,0.111,0.358363636363636,0,0,0,1
2018-01-01T17:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.389617290977576,0.678485900979976,-14.6,22,18,1,2.91525793368116,0.44,0.059,0.370727272727273,0,0,0,1
2018-01-01T18:00,0.22,0.18,1,0.5,0.5,0.051,0.0739,0.351026664168983,0.616919253475909,-15,22,18,1,2.17386644207547,0,0,0.385090909090909,0,0,0,1
2018-01-01T19:00,0.22,0.18,1,0.5,0.5,0.051,0.0739,3.19754020309852E-02,0.35423563771692,-15.6,22,18,1,1.15419092857578,0,0,0.384909090909091,0,0,0,1
2018-01-01T20:00,0.22,0.18,0,0,0.5,0.051,0.0739,3.25118793940876E-02,0.352992948824974,-15.7,22,18,1,1.30956722939312,0,0,0.422545454545455,0,0,0,1
2018-01-01T21:00,0.22,0.18,0,0,0.5,0.051,0.0739,3.24448197236998E-02,0.351998797711417,-15.8,22,18,1,0.5387981618803,0,0,0.462727272727273,0,9,1,4
2018-01-01T22:00,0.22,0.18,0,0,0.5,0.051,0.0739,0.031371864997495,0.350259033262693,-15.8,22,18,1,0,0,0,0.470727272727273,0,0,0,4
2018-01-01T23:00,0.22,0.18,0,0,0.5,0.051,0.0739,3.01312610953207E-02,0.347525117700413,-15.8,22,18,1,0.107759347349782,0,0,0.531636363636364,0,0,0,4
2018-01-02T00:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.88235975227586E-02,0.35353473224239,-15.7,22,18,1,0,0,0,0.564545454545455,0,0,0,4
2018-01-02T01:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.81865306540745E-02,0.352540581128833,-15.4,22,18,1,0.107734048725612,0,0,0.581090909090909,0,0,0,4
2018-01-02T02:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.80859411484928E-02,0.344045588802964,-14.8,22,18,1,0,0,0,0.565272727272727,0,0,0,4
2018-01-02T03:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.79853516429111E-02,0.343051437689408,-14.3,22,18,1,0.107733259002073,0,0,0.526545454545455,0,0,0,4
2018-01-02T04:00,0.22,0.18,0,0,0.5,0.051,0.0739,2.76500532909721E-02,0.342057286575851,-14,22,18,1,0,0,0,0.492,0,0,0,4
